"#A";"NOME_A";"DIAS_A";"#B";"NAME_B";"DAYS_B";"RAND_B";"LANG_B";"score"
"1";"JANEIRO";"31";"3";"JANVIER";"31";"45572888453";"fr";94.72
"2";"FEVEREIRO";"28";"19";"FEVRIER";"28";"37536760973";"fr";95.74
"3";"MARCO";"31";"2";"MARCH";"31";"65313991380";"en";96.00
"4";"ABRIL";"30";"71";"ABRIL";"30";"71410692703";"sp";100.00
"5";"MAIO";"31";"35";"MAI";"31";"52039494948";"fr";97.08
"6";"JUNHO";"30";"39";"JUNIO";"30";"90500925945";"sp";95.33
"7";"JULHO";"31";"44";"JULIO";"31";"11353150828";"sp";95.33
"8";"AGOSTO";"31";"37";"AGOSTO";"31";"81288223160";"sp";100.00
"9";"SETEMBRO";"30";"46";"SETTEMBRE";"30";"39793562015";"it";95.95
"10";"OUTUBRO";"31";"10";"OCTUBRE";"31";"86707928896";"sp";88.43
"11";"NOVEMBRO";"30";"18";"NOVEMBRE";"30";"97322090656";"it";98.75
"12";"DEZEMBRO";"31";"59";"DEZEMBER";"31";"70349912766";"de";98.33
